ID,Lat,Lon
1405,-124.13,41.94
1406,-124.09,41.94
1407,-124.05,41.94
1408,-124.01,41.94
1409,-123.97,41.94
1410,-123.93,41.94
1411,-123.89,41.94
1412,-123.85,41.94
1413,-123.81,41.94
1414,-123.77,41.94
1415,-123.73,41.94
1416,-123.69,41.94
1417,-123.65,41.94
1418,-123.61,41.94
1419,-123.57,41.94
1420,-123.53,41.94
1421,-123.49,41.94
1422,-123.45,41.94
1423,-123.41,41.94
1424,-123.37,41.94
1425,-123.33,41.94
1426,-123.29,41.94
1427,-123.25,41.94
1428,-123.21,41.94
1429,-123.17,41.94
1430,-123.13,41.94
1431,-123.09,41.94
1432,-123.05,41.94
1433,-123.01,41.94
1434,-122.97,41.94
1435,-122.93,41.94
1436,-122.89,41.94
1437,-122.85,41.94
1438,-122.81,41.94
1439,-122.77,41.94
1440,-122.73,41.94
1441,-122.69,41.94
1442,-122.65,41.94
1443,-122.61,41.94
1444,-122.57,41.94
1445,-122.53,41.94
1446,-122.49,41.94
1447,-122.45,41.94
1448,-122.41,41.94
1449,-122.37,41.94
1450,-122.33,41.94
1451,-122.29,41.94
1452,-122.25,41.94
1453,-122.21,41.94
1454,-122.17,41.94
1455,-122.13,41.94
1456,-122.09,41.94
1457,-122.05,41.94
1458,-122.01,41.94
1459,-121.97,41.94
1460,-121.93,41.94
1461,-121.89,41.94
1462,-121.85,41.94
1463,-121.81,41.94
1464,-121.77,41.94
1465,-121.73,41.94
1466,-121.69,41.94
1467,-121.65,41.94
1468,-121.61,41.94
1469,-121.57,41.94
1470,-121.53,41.94
1471,-121.49,41.94
1472,-121.45,41.94
1473,-121.41,41.94
1474,-121.37,41.94
1475,-121.33,41.94
1476,-121.29,41.94
1477,-121.25,41.94
1478,-121.21,41.94
1479,-121.17,41.94
1480,-121.13,41.94
1481,-121.09,41.94
1482,-121.05,41.94
1483,-121.01,41.94
1484,-120.97,41.94
1485,-120.93,41.94
1486,-120.89,41.94
1487,-120.85,41.94
1488,-120.81,41.94
1489,-120.77,41.94
1490,-120.73,41.94
1491,-120.69,41.94
1492,-120.65,41.94
1493,-120.61,41.94
1494,-120.57,41.94
1495,-120.53,41.94
1496,-120.49,41.94
1497,-120.45,41.94
1498,-120.41,41.94
