ID,Lat,Lon
603,-77.54,39.52
604,-77.5,39.52
605,-77.46,39.52
606,-77.42,39.52
607,-77.38,39.52
608,-77.34,39.52
609,-77.3,39.52
610,-77.26,39.52
611,-77.22,39.52
612,-77.18,39.52
613,-77.14,39.52
614,-77.1,39.52
615,-77.06,39.52
616,-77.02,39.52
617,-76.98,39.52
618,-76.94,39.52
619,-76.9,39.52
620,-76.86,39.52
621,-76.82,39.52
622,-76.78,39.52
623,-76.74,39.52
624,-76.7,39.52
625,-76.66,39.52
626,-76.62,39.52
627,-76.58,39.52
628,-76.54,39.52
629,-76.5,39.52
630,-76.46,39.52
631,-76.42,39.52
632,-76.38,39.52
633,-76.34,39.52
634,-76.3,39.52
635,-76.26,39.52
636,-76.22,39.52
637,-76.18,39.52
638,-76.14,39.52
639,-76.1,39.52
640,-76.06,39.52
642,-75.98,39.52
643,-75.94,39.52
644,-75.9,39.52
645,-75.86,39.52
646,-75.82,39.52
647,-75.78,39.52
666,-79.46,39.48
667,-79.42,39.48
668,-79.38,39.48
669,-79.34,39.48
670,-79.3,39.48
671,-79.26,39.48
672,-79.22,39.48
673,-79.18,39.48
674,-79.14,39.48
675,-79.1,39.48
676,-79.06,39.48
677,-79.02,39.48
678,-78.98,39.48
679,-78.94,39.48
680,-78.9,39.48
706,-77.86,39.48
707,-77.82,39.48
708,-77.78,39.48
709,-77.74,39.48
710,-77.7,39.48
711,-77.66,39.48
712,-77.62,39.48
713,-77.58,39.48
714,-77.54,39.48
715,-77.5,39.48
716,-77.46,39.48
717,-77.42,39.48
718,-77.38,39.48
719,-77.34,39.48
720,-77.3,39.48
721,-77.26,39.48
722,-77.22,39.48
723,-77.18,39.48
724,-77.14,39.48
725,-77.1,39.48
726,-77.06,39.48
727,-77.02,39.48
728,-76.98,39.48
729,-76.94,39.48
730,-76.9,39.48
731,-76.86,39.48
732,-76.82,39.48
733,-76.78,39.48
734,-76.74,39.48
735,-76.7,39.48
736,-76.66,39.48
737,-76.62,39.48
738,-76.58,39.48
739,-76.54,39.48
740,-76.5,39.48
741,-76.46,39.48
742,-76.42,39.48
743,-76.38,39.48
744,-76.34,39.48
745,-76.3,39.48
746,-76.26,39.48
747,-76.22,39.48
748,-76.18,39.48
749,-76.14,39.48
750,-76.1,39.48
751,-76.06,39.48
752,-76.02,39.48
753,-75.98,39.48
754,-75.94,39.48
755,-75.9,39.48
756,-75.86,39.48
757,-75.82,39.48
758,-75.78,39.48
777,-79.46,39.44
778,-79.42,39.44
779,-79.38,39.44
780,-79.34,39.44
781,-79.3,39.44
782,-79.26,39.44
783,-79.22,39.44
784,-79.18,39.44
785,-79.14,39.44
786,-79.1,39.44
788,-79.02,39.44
789,-78.98,39.44
790,-78.94,39.44
819,-77.78,39.44
820,-77.74,39.44
821,-77.7,39.44
822,-77.66,39.44
823,-77.62,39.44
824,-77.58,39.44
825,-77.54,39.44
826,-77.5,39.44
827,-77.46,39.44
828,-77.42,39.44
829,-77.38,39.44
830,-77.34,39.44
831,-77.3,39.44
832,-77.26,39.44
833,-77.22,39.44
834,-77.18,39.44
835,-77.14,39.44
836,-77.1,39.44
837,-77.06,39.44
838,-77.02,39.44
839,-76.98,39.44
840,-76.94,39.44
841,-76.9,39.44
842,-76.86,39.44
843,-76.82,39.44
844,-76.78,39.44
845,-76.74,39.44
846,-76.7,39.44
847,-76.66,39.44
848,-76.62,39.44
849,-76.58,39.44
850,-76.54,39.44
851,-76.5,39.44
852,-76.46,39.44
853,-76.42,39.44
854,-76.38,39.44
855,-76.34,39.44
856,-76.3,39.44
857,-76.26,39.44
858,-76.22,39.44
859,-76.18,39.44
860,-76.14,39.44
861,-76.1,39.44
862,-76.06,39.44
863,-76.02,39.44
864,-75.98,39.44
865,-75.94,39.44
866,-75.9,39.44
867,-75.86,39.44
868,-75.82,39.44
869,-75.78,39.44
888,-79.46,39.4
889,-79.42,39.4
890,-79.38,39.4
891,-79.34,39.4
892,-79.3,39.4
893,-79.26,39.4
894,-79.22,39.4
895,-79.18,39.4
896,-79.14,39.4
931,-77.74,39.4
932,-77.7,39.4
933,-77.66,39.4
934,-77.62,39.4
935,-77.58,39.4
936,-77.54,39.4
937,-77.5,39.4
938,-77.46,39.4
939,-77.42,39.4
940,-77.38,39.4
941,-77.34,39.4
942,-77.3,39.4
943,-77.26,39.4
944,-77.22,39.4
945,-77.18,39.4
946,-77.14,39.4
947,-77.1,39.4
948,-77.06,39.4
949,-77.02,39.4
950,-76.98,39.4
951,-76.94,39.4
952,-76.9,39.4
953,-76.86,39.4
954,-76.82,39.4
955,-76.78,39.4
956,-76.74,39.4
957,-76.7,39.4
958,-76.66,39.4
959,-76.62,39.4
960,-76.58,39.4
961,-76.54,39.4
962,-76.5,39.4
963,-76.46,39.4
964,-76.42,39.4
965,-76.38,39.4
966,-76.34,39.4
967,-76.3,39.4
968,-76.26,39.4
969,-76.22,39.4
970,-76.18,39.4
971,-76.14,39.4
972,-76.1,39.4
974,-76.02,39.4
975,-75.98,39.4
976,-75.94,39.4
977,-75.9,39.4
978,-75.86,39.4
979,-75.82,39.4
980,-75.78,39.4
999,-79.46,39.36
1000,-79.42,39.36
1001,-79.38,39.36
1002,-79.34,39.36
1003,-79.3,39.36
1004,-79.26,39.36
1005,-79.22,39.36
1006,-79.18,39.36
1042,-77.74,39.36
1043,-77.7,39.36
1044,-77.66,39.36
1045,-77.62,39.36
1046,-77.58,39.36
1047,-77.54,39.36
1048,-77.5,39.36
1049,-77.46,39.36
1050,-77.42,39.36
1051,-77.38,39.36
1052,-77.34,39.36
1053,-77.3,39.36
1054,-77.26,39.36
1055,-77.22,39.36
1056,-77.18,39.36
1057,-77.14,39.36
